N	P	M	v0	beta	num_steps
10	50	48	2.000000e-01	7.000000e-01	10000
i	V_beta	h^2	Acc.
0	0.000000e+00	3.498673e+04	0
1	0.000000e+00	3.498673e+04	0
2	0.000000e+00	4.032651e+04	0
3	0.000000e+00	3.595245e+04	0
4	0.000000e+00	3.201184e+04	0
5	1.492396e-02	1.545421e+04	1
6	1.492396e-02	3.880170e+04	0
7	3.907345e-02	3.201752e+04	1
8	4.557222e-02	3.222838e+04	1
9	4.356851e-02	3.479725e+04	1
10	3.741350e-02	3.417332e+04	1
11	5.860758e-02	3.665934e+04	1
12	7.077097e-02	3.478279e+04	1
13	7.449839e-02	3.240522e+04	1
14	6.799797e-02	4.034532e+04	1
15	6.799797e-02	3.761682e+04	0
16	6.749158e-02	3.596589e+04	1
17	7.410165e-02	3.009140e+04	1
18	8.162424e-02	3.856640e+04	1
19	8.132852e-02	3.699287e+04	1
20	9.177509e-02	3.078918e+04	1
21	1.488673e-01	3.258264e+04	1
22	1.477425e-01	3.576550e+04	1
23	1.263771e-01	3.406175e+04	1
24	1.660728e-01	3.762836e+04	1
25	1.632989e-01	3.760693e+04	1
26	1.632989e-01	3.890951e+04	0
27	2.014375e-01	3.405769e+04	1
28	2.014375e-01	4.156442e+04	0
29	1.616571e-01	3.584240e+04	1
30	1.635698e-01	3.970027e+04	1
31	1.667895e-01	3.372322e+04	1
32	1.582849e-01	3.422888e+04	1
33	1.250025e-01	3.195878e+04	1
34	1.252984e-01	3.830353e+04	1
35	1.252984e-01	3.419674e+04	0
36	1.399952e-01	3.179474e+04	1
37	1.373499e-01	3.623971e+04	1
38	1.579807e-01	3.364417e+04	1
39	1.314522e-01	3.868544e+04	1
40	1.415477e-01	3.887480e+04	1
41	1.908465e-01	3.625262e+04	1
42	1.485764e-01	3.221855e+04	1
43	2.142014e-01	3.482772e+04	1
44	1.855927e-01	3.237306e+04	1
45	1.906088e-01	3.961260e+04	1
46	1.894307e-01	3.812567e+04	1
47	1.952695e-01	3.368527e+04	1
48	2.027861e-01	3.367462e+04	1
49	1.761421e-01	3.778624e+04	1
50	2.037173e-01	3.144934e+04	1
51	2.510225e-01	3.446639e+04	1
52	2.687422e-01	3.568135e+04	1
53	2.960231e-01	3.342751e+04	1
54	2.990548e-01	3.585783e+04	1
55	3.156600e-01	3.290757e+04	1
56	2.774757e-01	3.858901e+04	1
57	2.963181e-01	3.488892e+04	1
58	3.749532e-01	3.640851e+04	1
59	3.895153e-01	3.298578e+04	1
60	4.015273e-01	3.668201e+04	1
61	4.614128e-01	2.959773e+04	1
62	5.503740e-01	3.771824e+04	1
63	5.547633e-01	3.497019e+04	1
64	5.917884e-01	3.446588e+04	1
65	5.953141e-01	3.802123e+04	1
66	5.898881e-01	3.967326e+04	1
67	5.898881e-01	3.974623e+04	0
68	6.601906e-01	3.455869e+04	1
69	6.523298e-01	3.422139e+04	1
70	6.310748e-01	3.672942e+04	1
71	6.248070e-01	3.158927e+04	1
72	6.399913e-01	3.533484e+04	1
73	5.512050e-01	3.400489e+04	1
74	5.872628e-01	3.536777e+04	1
75	6.236684e-01	2.905279e+04	1
76	6.419230e-01	3.825159e+04	1
77	6.587260e-01	3.105673e+04	1
78	6.183951e-01	3.161246e+04	1
79	6.308976e-01	3.467673e+04	1
80	5.618956e-01	3.912398e+04	1
81	5.618956e-01	3.946419e+04	0
82	5.702272e-01	3.382348e+04	1
83	5.702272e-01	4.090777e+04	0
84	5.702272e-01	3.917598e+04	0
85	6.067451e-01	3.908478e+04	1
86	5.843523e-01	3.580806e+04	1
87	5.843523e-01	3.849172e+04	0
88	5.918495e-01	3.849447e+04	1
89	5.740350e-01	3.403197e+04	1
90	6.758305e-01	3.422316e+04	1
91	6.502672e-01	3.507154e+04	1
92	7.061847e-01	3.687200e+04	1
93	7.307639e-01	3.857520e+04	1
94	9.121010e-01	3.735554e+04	1
95	8.690605e-01	3.296473e+04	1
96	8.362830e-01	3.562423e+04	1
97	8.982298e-01	3.282917e+04	1
98	9.299494e-01	4.126842e+04	1
99	9.330731e-01	3.990435e+04	1
100	9.543049e-01	4.011398e+04	1
101	8.865263e-01	4.271230e+04	1
102	9.631263e-01	3.702834e+04	1
103	9.631263e-01	3.581960e+04	0
104	9.094351e-01	2.920362e+04	1
105	9.784096e-01	3.423644e+04	1
106	1.068421e+00	3.490943e+04	1
107	1.076892e+00	3.590237e+04	1
108	1.131384e+00	3.798996e+04	1
109	1.176021e+00	3.667042e+04	1
110	1.276051e+00	3.220746e+04	1
111	1.276051e+00	3.511565e+04	0
112	1.276051e+00	3.829661e+04	0
113	1.305053e+00	3.329871e+04	1
114	1.253067e+00	3.324019e+04	1
115	1.206382e+00	3.615004e+04	1
116	1.120116e+00	3.206620e+04	1
117	1.141071e+00	3.317385e+04	1
118	1.136543e+00	4.412145e+04	1
119	1.203012e+00	4.121082e+04	1
120	1.411029e+00	3.515979e+04	1
121	1.410379e+00	4.042192e+04	1
122	1.338423e+00	3.337504e+04	1
123	1.303565e+00	4.061040e+04	1
124	1.313182e+00	3.934491e+04	1
125	1.288248e+00	3.706633e+04	1
126	1.146280e+00	3.759132e+04	1
127	1.105079e+00	3.711869e+04	1
128	1.060870e+00	2.877720e+04	1
129	1.076872e+00	3.283026e+04	1
130	1.119839e+00	3.272373e+04	1
131	9.474632e-01	4.122841e+04	1
132	9.465591e-01	3.853247e+04	1
133	8.857783e-01	3.337641e+04	1
134	8.643232e-01	3.565349e+04	1
135	9.796201e-01	3.934640e+04	1
136	9.545772e-01	3.190040e+04	1
137	8.557018e-01	3.751022e+04	1
138	7.428344e-01	3.719153e+04	1
139	7.019092e-01	3.974255e+04	1
140	7.409542e-01	3.558755e+04	1
141	7.896912e-01	3.880843e+04	1
142	7.697150e-01	4.233537e+04	1
143	7.697150e-01	3.837795e+04	0
144	7.697150e-01	3.962391e+04	0
145	7.697150e-01	4.611942e+04	0
146	7.734698e-01	3.434909e+04	1
147	7.989302e-01	3.789831e+04	1
148	7.277195e-01	3.478460e+04	1
149	7.090349e-01	3.056087e+04	1
150	7.711384e-01	3.455320e+04	1
151	7.711384e-01	3.868414e+04	0
152	8.388330e-01	3.711989e+04	1
153	8.706009e-01	3.677815e+04	1
154	9.221562e-01	3.285444e+04	1
155	9.647366e-01	3.897167e+04	1
156	1.089854e+00	3.250683e+04	1
157	1.109595e+00	3.950813e+04	1
158	1.146868e+00	3.854811e+04	1
159	1.010468e+00	3.772953e+04	1
160	1.031160e+00	3.507634e+04	1
161	9.958743e-01	3.639556e+04	1
162	1.037828e+00	3.469313e+04	1
163	1.086758e+00	3.564830e+04	1
164	1.010080e+00	3.893652e+04	1
165	1.127971e+00	3.642189e+04	1
166	1.100774e+00	4.134391e+04	1
167	1.170242e+00	3.475281e+04	1
168	1.277064e+00	3.386135e+04	1
169	1.208912e+00	3.953875e+04	1
170	1.379966e+00	3.408383e+04	1
171	1.423597e+00	3.683079e+04	1
172	1.385800e+00	3.559839e+04	1
173	1.385800e+00	4.047654e+04	0
174	1.527771e+00	3.480773e+04	1
175	1.362219e+00	3.442230e+04	1
176	1.362219e+00	3.449784e+04	0
177	1.344699e+00	3.625202e+04	1
178	1.370853e+00	4.238565e+04	1
179	1.421699e+00	3.641011e+04	1
180	1.318249e+00	3.439915e+04	1
181	1.346413e+00	3.516498e+04	1
182	1.333450e+00	3.790497e+04	1
183	1.475543e+00	3.651593e+04	1
184	1.623172e+00	3.623754e+04	1
185	1.741323e+00	3.580509e+04	1
186	1.700779e+00	4.089108e+04	1
187	1.735835e+00	3.795883e+04	1
188	1.667552e+00	3.942218e+04	1
189	1.690062e+00	3.641158e+04	1
190	1.697727e+00	3.803704e+04	1
191	1.777628e+00	3.564794e+04	1
192	1.935090e+00	3.531135e+04	1
193	1.975057e+00	3.256544e+04	1
194	2.054771e+00	3.768337e+04	1
195	2.047468e+00	3.718432e+04	1
196	2.089296e+00	3.847654e+04	1
197	2.177825e+00	3.735871e+04	1
198	2.157377e+00	3.391152e+04	1
199	2.157377e+00	4.183040e+04	0
200	2.062202e+00	3.674101e+04	1
201	1.918561e+00	3.376915e+04	1
202	1.961555e+00	3.654178e+04	1
203	2.004013e+00	3.223035e+04	1
204	2.133199e+00	3.879086e+04	1
205	1.999265e+00	3.368911e+04	1
206	1.905796e+00	3.841330e+04	1
207	1.934544e+00	3.756233e+04	1
208	2.025948e+00	4.015583e+04	1
209	2.043484e+00	3.711475e+04	1
210	2.085143e+00	3.863874e+04	1
211	2.006347e+00	3.984843e+04	1
212	1.947460e+00	3.559967e+04	1
213	1.911873e+00	3.458735e+04	1
214	1.858189e+00	3.934110e+04	1
215	1.889080e+00	3.837002e+04	1
216	1.988564e+00	3.603590e+04	1
217	2.067869e+00	3.579605e+04	1
218	2.040959e+00	3.723238e+04	1
219	1.969865e+00	4.402138e+04	1
220	1.919242e+00	3.433082e+04	1
221	1.870048e+00	3.866120e+04	1
222	1.830316e+00	3.434445e+04	1
223	1.759077e+00	3.158075e+04	1
224	1.857813e+00	3.657508e+04	1
225	1.810110e+00	3.808605e+04	1
226	1.823940e+00	3.708014e+04	1
227	1.753942e+00	3.760575e+04	1
228	1.776880e+00	3.440716e+04	1
229	1.753642e+00	3.684969e+04	1
230	1.774418e+00	3.691993e+04	1
231	1.873680e+00	3.503596e+04	1
232	1.745509e+00	3.443293e+04	1
233	1.789504e+00	3.294955e+04	1
234	1.833394e+00	3.668669e+04	1
235	1.784097e+00	3.365769e+04	1
236	1.778146e+00	3.350668e+04	1
237	1.782775e+00	3.995196e+04	1
238	1.802547e+00	3.291442e+04	1
239	1.802372e+00	3.512955e+04	1
240	1.984766e+00	3.977559e+04	1
241	1.867508e+00	4.030108e+04	1
242	1.809497e+00	3.663493e+04	1
243	1.771951e+00	3.663941e+04	1
244	1.756609e+00	3.554535e+04	1
245	1.685887e+00	4.087915e+04	1
246	1.571904e+00	3.788891e+04	1
247	1.559496e+00	3.988310e+04	1
248	1.505888e+00	3.245332e+04	1
249	1.412110e+00	3.956705e+04	1
250	1.487774e+00	3.984994e+04	1
251	1.464228e+00	3.803080e+04	1
252	1.522480e+00	3.480298e+04	1
253	1.525798e+00	3.394697e+04	1
254	1.573195e+00	3.675992e+04	1
255	1.564116e+00	3.662522e+04	1
256	1.560425e+00	3.436747e+04	1
257	1.732381e+00	3.902075e+04	1
258	1.809593e+00	3.841926e+04	1
259	1.772377e+00	3.733385e+04	1
260	1.517340e+00	3.742119e+04	1
261	1.569675e+00	3.029226e+04	1
262	1.710141e+00	3.707033e+04	1
263	1.710141e+00	3.940350e+04	0
264	1.675103e+00	3.821348e+04	1
265	1.538308e+00	3.300968e+04	1
266	1.643694e+00	3.485172e+04	1
267	1.586477e+00	3.566406e+04	1
268	1.572851e+00	3.310691e+04	1
269	1.553767e+00	3.928611e+04	1
270	1.449180e+00	3.890852e+04	1
271	1.488028e+00	3.497154e+04	1
272	1.452374e+00	3.402498e+04	1
273	1.416703e+00	3.779431e+04	1
274	1.483210e+00	3.572569e+04	1
275	1.619859e+00	3.598977e+04	1
276	1.530482e+00	3.330449e+04	1
277	1.515258e+00	3.312389e+04	1
278	1.480421e+00	3.390959e+04	1
279	1.532727e+00	3.969044e+04	1
280	1.467665e+00	3.586410e+04	1
281	1.450701e+00	3.434653e+04	1
282	1.381204e+00	3.879459e+04	1
283	1.331530e+00	3.424150e+04	1
284	1.342310e+00	3.517496e+04	1
285	1.444352e+00	3.727970e+04	1
286	1.579149e+00	3.407076e+04	1
287	1.629353e+00	3.431156e+04	1
288	1.622693e+00	3.821208e+04	1
289	1.626788e+00	3.892254e+04	1
290	1.836409e+00	4.147343e+04	1
291	1.864891e+00	3.586239e+04	1
292	1.853069e+00	3.780419e+04	1
293	1.918353e+00	3.723745e+04	1
294	1.947334e+00	3.542627e+04	1
295	1.982682e+00	3.565156e+04	1
296	1.850100e+00	3.846927e+04	1
297	1.843222e+00	3.914330e+04	1
298	1.923509e+00	3.459070e+04	1
299	2.005128e+00	3.824289e+04	1
300	2.150568e+00	3.451910e+04	1
301	2.210904e+00	3.575147e+04	1
302	2.210904e+00	3.972327e+04	0
303	2.319313e+00	3.711175e+04	1
304	2.379508e+00	3.528957e+04	1
