N	P	M	v0	beta	num_steps
10	50	47	2.000000e-01	7.000000e-01	50000
i	V_beta	h^2	H_{HMC}	h	Acc.
0	4.065166e-02	2.645953e-01	3.520233e+05	4.796352e-01	1
1	3.662539e-02	1.583411e-01	1.132112e+05	4.231285e-01	1
2	5.523349e-02	6.143882e-02	7.462774e+04	5.881542e-01	1
3	4.549539e-02	3.285661e-02	5.627726e+04	4.784667e-01	1
4	4.557568e-02	7.151383e-02	5.585622e+04	3.219249e-01	1
5	5.063467e-02	1.215671e-01	5.174937e+04	4.335832e-01	1
6	7.449150e-02	6.281038e-02	4.384002e+04	6.407406e-01	1
7	8.054628e-02	2.324652e-01	4.416702e+04	8.350860e-01	1
8	8.751684e-02	1.494773e-01	4.049350e+04	7.033328e-01	1
9	9.382999e-02	8.912836e-02	3.834396e+04	7.631922e-01	1
10	9.920882e-02	4.665138e-02	3.934466e+04	9.848419e-01	1
11	1.086008e-01	1.488985e-01	4.070101e+04	1.187928e+00	1
12	7.906211e-02	6.168677e-02	3.868803e+04	1.037546e+00	1
13	7.298968e-02	1.293649e-01	3.770668e+04	9.089550e-01	1
14	8.393454e-02	6.758593e-02	3.744802e+04	1.032465e+00	1
15	9.230006e-02	1.294958e-01	3.688439e+04	1.271649e+00	1
16	1.001681e-01	4.676897e-02	3.233579e+04	1.257716e+00	1
17	1.155023e-01	5.394583e-02	3.389600e+04	1.232232e+00	1
18	1.100668e-01	8.487222e-02	4.005592e+04	1.131375e+00	1
19	1.100668e-01	8.487222e-02	3.473053e+04	1.131375e+00	0
20	9.350357e-02	1.939285e-01	3.857919e+04	1.056465e+00	1
21	7.305436e-02	8.568011e-02	3.867945e+04	1.007465e+00	1
22	7.129076e-02	6.457541e-02	3.780121e+04	9.385313e-01	1
23	7.923615e-02	1.071238e-01	3.694271e+04	8.684133e-01	1
24	9.167123e-02	1.023868e-01	3.623232e+04	9.309132e-01	1
25	1.137372e-01	9.677766e-02	3.939583e+04	8.999714e-01	1
26	1.489528e-01	1.828739e-01	3.984697e+04	6.725865e-01	1
27	1.786273e-01	3.626822e-01	3.637752e+04	5.168306e-01	1
28	1.410339e-01	6.456052e-01	3.653158e+04	4.999692e-01	1
29	1.186173e-01	3.151265e-01	3.737763e+04	5.581358e-01	1
30	1.220222e-01	1.854095e-01	3.404300e+04	6.667082e-01	1
31	1.317977e-01	1.771017e-01	3.323514e+04	5.018468e-01	1
32	1.328206e-01	2.175714e-01	3.246700e+04	5.055415e-01	1
33	1.380650e-01	2.871003e-01	3.795104e+04	4.003327e-01	1
34	1.618616e-01	3.712226e-01	3.737866e+04	3.798564e-01	1
35	1.690085e-01	1.864401e-01	4.181563e+04	4.646483e-01	1
36	2.016039e-01	2.371755e-01	3.918545e+04	2.814681e-01	1
37	1.728969e-01	4.181829e-01	3.742132e+04	7.080887e-01	1
38	2.098796e-01	2.866749e-01	3.856330e+04	7.146365e-01	1
39	2.149552e-01	1.346338e-01	3.470122e+04	5.265223e-01	1
40	2.458565e-01	4.296545e-01	3.324193e+04	3.773390e-01	1
41	2.082684e-01	1.930373e-01	4.000681e+04	5.054892e-01	1
42	1.876359e-01	6.234662e-02	3.492201e+04	4.368752e-01	1
43	1.990127e-01	5.568824e-02	3.656820e+04	5.452821e-01	1
44	1.990127e-01	5.568824e-02	3.636425e+04	5.452821e-01	0
45	2.365693e-01	2.994803e-02	3.184484e+04	5.763600e-01	1
46	2.365693e-01	2.994803e-02	3.910296e+04	5.763600e-01	0
47	2.468780e-01	1.388852e-01	3.366350e+04	4.204330e-01	1
48	2.303574e-01	9.672055e-02	3.472556e+04	9.414489e-01	1
49	2.658072e-01	7.288824e-02	3.708959e+04	8.291424e-01	1
50	2.510502e-01	1.641830e-01	4.073885e+04	4.631745e-01	1
51	2.507519e-01	1.805063e-01	3.438761e+04	6.119528e-01	1
52	2.593388e-01	2.911121e-01	3.487155e+04	7.313238e-01	1
53	1.822895e-01	1.628485e-01	3.576264e+04	8.748420e-01	1
54	2.203179e-01	1.592459e-01	3.711917e+04	1.087095e+00	1
55	1.890898e-01	1.727112e-01	3.868573e+04	8.286910e-01	1
56	2.425513e-01	6.787107e-01	3.672708e+04	8.169642e-01	1
57	2.553449e-01	1.051057e+00	3.974441e+04	7.835863e-01	1
58	2.553449e-01	1.051057e+00	3.910584e+04	7.835863e-01	0
59	3.040953e-01	9.337986e-01	3.699586e+04	7.163429e-01	1
